coachID,year,tmID,stint,lgID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_y,lost_y,GP,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,powerRanking
donovan99w,3,CHA,0,WNBA,CHA,EA,,2,Y,0,L,,,Charlotte Sting,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,0,0,0,0,0,0,18,14,32,11,5,7,9,12,9,6450,106670,Charlotte Coliseum,-0.16428266320144758
donovan99w,4,SEA,0,WNBA,SEA,WE,,5,N,0,,,,Seattle Storm,890,2045,442,567,166,500,342,732,1074,548,644,232,465,138,844,2039,441,591,145,437,352,689,1041,456,570,245,459,104,0,0,0,0,0,0,18,16,34,13,4,5,12,11,13,6850,120857,KeyArena at Seattle Center,-5.983505399900878
donovan99w,5,SEA,0,WNBA,SEA,WE,,2,Y,0,W,W,W,Seattle Storm,873,2025,524,676,167,439,350,709,1059,552,665,302,499,131,851,1989,423,592,139,391,303,679,982,507,678,252,527,137,0,0,0,0,0,0,20,14,34,13,4,7,10,13,9,6825,134291,KeyArena at Seattle Center,51.510157436105146
donovan99w,6,SEA,0,WNBA,SEA,WE,,2,Y,0,L,,,Seattle Storm,906,2066,544,688,142,429,323,776,1099,520,657,201,516,158,892,2163,490,646,133,419,334,686,1020,568,691,267,438,154,0,0,0,0,0,0,20,14,34,14,3,6,11,13,9,6825,151150,KeyArena at Seattle Center,-35.092333062879334
donovan99w,7,SEA,0,WNBA,SEA,WE,,4,Y,0,L,,,Seattle Storm,961,2124,562,712,160,475,327,821,1148,514,682,232,570,127,940,2218,531,707,164,484,322,709,1031,520,683,297,485,115,0,0,0,0,0,0,18,16,34,9,8,9,8,10,10,6800,145664,KeyArena at Seattle Center,-69.74798927161828
donovan99w,8,SEA,0,WNBA,SEA,WE,,4,Y,0,L,,,Seattle Storm,964,2210,582,715,224,639,344,820,1164,533,620,242,533,151,987,2321,478,586,195,528,333,761,1094,591,642,272,495,112,0,0,0,0,0,0,17,17,34,12,5,5,12,11,11,6825,135553,KeyArena at Seattle Center,-59.26298610454796
dunnli99wc,1,SEA,0,WNBA,SEA,WE,,8,N,0,,,,Seattle Storm,667,1740,379,561,109,364,256,537,793,390,648,255,525,93,778,1721,498,654,117,334,288,721,1009,506,618,284,529,123,0,0,0,0,0,0,6,26,32,4,12,2,14,4,17,6475,142594,KeyArena at Seattle Center,-439.9293603778565
dunnli99wc,2,SEA,0,WNBA,SEA,WE,,8,N,0,,,,Seattle Storm,689,1821,415,606,128,412,306,585,891,412,605,273,431,127,753,1750,417,559,125,325,296,756,1052,492,588,228,519,127,0,0,0,0,0,0,10,22,32,5,11,5,11,6,15,6550,95257,KeyArena at Seattle Center,-220.57838316425614
dunnli99wc,3,SEA,0,WNBA,SEA,WE,,4,Y,0,L,,,Seattle Storm,794,1948,418,543,182,506,362,633,995,514,623,282,477,151,783,1818,435,587,102,342,307,662,969,488,563,254,531,125,0,0,0,0,0,0,17,15,32,10,6,7,9,10,11,6450,111774,KeyArena at Seattle Center,-20.38062933861511
dunnli99wc,9,IND,0,WNBA,IND,EA,,4,Y,0,L,,,Indiana Fever,876,2179,495,656,226,662,349,778,1127,500,727,324,585,165,891,2127,540,706,135,415,338,833,1171,477,659,294,608,130,0,0,0,0,0,0,17,17,34,11,6,6,11,12,8,6950,130941,Conseco Fieldhouse,-111.34725501172443
